ExperienceYears,Count,Education,Count,Certifications,Count,JobRole,Count,RecruiterDecision,Count,SalaryExpectation,Count,ProjectsCount,Count,AIScore,Count,Skill1,Count,Skill2,Count,Skill3,Count
,,,,,,,,,,151742,3,,,20.0,417.0,,,,,,
,,,,,,,,,,102040,3,,,,,,,,,,
,,,,,,,,,,46880,3,,,,,,,,,,
,,,,,,,,,,65212,3,,,,,,,,,,
,,,,,,,,,,189300,3,,,,,,,,,,
,,,,,,,,,,146471,3,,,,,,,,,,
,,,,,,,,,,151514,3,,,,,,,,,,
,,,,,,,,,,103057,3,,,,,,,,,,
,,,,,,,,,,112904,3,,,,,,,,,,
,,,,,,,,,,145058,3,,,,,,,,,,
,,,,,,,,,,190304,3,,,,,,,,,,
,,,,,,,,,,94495,3,,,,,,,,,,
,,,,,,,,,,147769,3,,,,,,,,,,
,,,,,,,,,,184365,3,,,,,,,,,,
,,,,,,,,,,159964,3,,,,,,,,,,
,,,,,,,,,,104268,3,,,,,,,,,,
,,,,,,,,,,102297,3,,,,,,,,,,
,,,,,,,,,,84547,3,,,,,,,,,,
,,,,,,,,,,169981,3,,,,,,,,,,
,,,,,,,,,,68128,3,,,,,,,,,,
,,,,,,,,,,121961,3,,,,,,,,,,
,,,,,,,,,,105811,3,,,,,,,,,,
,,,,,,,,,,152464,3,,,,,,,,,,
,,,,,,,,,,123709,3,,,,,,,,,,
,,,,,,,,,,53850,3,,,,,,,,,,
,,,,,,,,,,140378,3,,,,,,,,,,
,,,,,,,,,,160263,3,,,,,,,,,,
,,,,,,,,,,76656,3,,,,,,,,,,
,,,,,,,,,,119723,3,,,,,,,,,,
,,,,,,,,,,165173,3,,,,,,,,,,
,,,,,,,,,,41696,3,,,,,,,,,,
,,,,,,,,,,195873,3,,,,,,,,,,
,,,,,,,,,,77642,3,,,,,,,,,,
,,,,,,,,,,119860,3,,,,,,,,,,
,,,,,,,,,,177521,3,,,,,,,,,,
,,,,,,,,,,47797,3,,,,,,,,,,
,,,,,,,,,,135892,3,,,,,,,,,,
,,,,,,,,,,76920,3,,,,,,,,,,
,,,,,,,,,,190121,3,,,,,,,,,,
,,,,,,,,,,40720,3,,,,,,,,,,
,,,,,,,,,,129342,3,,,,,,,,,,
,,,,,,,,,,153608,3,,,,,,,,,,
,,,,,,,,,,96371,3,,,,,,,,,,
,,,,,,,,,,69687,3,,,,,,,,,,
,,,,,,,,,,92495,3,,,,,,,,,,
,,,,,,,,,,116289,3,,,,,,,,,,
,,,,,,,,,,54068,3,,,,,,,,,,
,,,,,,,,,,109459,3,,,,,,,,,,
,,,,,,,,,,182156,3,,,,,,,,,,
,,,,,,,,,,52899,3,,,,,,,,,,
,,,,,,,,,,125257,3,,,,,,,,,,
,,,,,,,,,,114938,3,,,,,,,,,,
,,,,,,,,,,42096,3,,,,,,,,,,
,,,,,,,,,,74359,3,,,,,,,,,,
,,,,,,,,,,41557,3,,,,,,,,,,
,,,,,,,,,,135203,3,,,,,,,,,,
,,,,,,,,,,134177,3,,,,,,,,,,
,,,,,,,,,,45339,3,,,,,,,,,,
,,,,,,,,,,42398,3,,,,,,,,,,
,,,,,,,,,,128263,3,,,,,,,,,,
,,,,,,,,,,138790,3,,,,,,,,,,
,,,,,,,,,,60545,3,,,,,,,,,,
,,,,,,,,,,186398,3,,,,,,,,,,
,,,,,,,,,,173978,3,,,,,,,,,,
,,,,,,,,,,84568,3,,,,,,,,,,
,,,,,,,,,,103836,3,,,,,,,,,,
,,,,,,,,,,114659,3,,,,,,,,,,
,,,,,,,,,,92249,3,,,,,,,,,,
,,,,,,,,,,141591,3,,,,,,,,,,
,,,,,,,,,,43358,3,,,,,,,,,,
,,,,,,,,,,176853,3,,,,,,,,,,
,,,,,,,,,,77229,3,,,,,,,,,,
,,,,,,,,,,131308,3,,,,,,,,,,
,,,,,,,,,,87795,3,,,,,,,,,,
,,,,,,,,,,108836,3,,,,,,,,,,
,,,,,,,,,,105741,3,,,,,,,,,,
,,,,,,,,,,182061,3,,,,,,,,,,
,,,,,,,,,,95784,3,,,,,,,,,,
,,,,,,,,,,73601,3,,,,,,,,,,
,,,,,,,,,,68171,3,,,,,,,,,,
,,,,,,,,,,165756,3,,,,,,,,,,
,,,,,,,,,,64923,3,,,,,,,,,,
,,,,,,,,,,103701,3,,,,,,,,,,
,,,,,,,,,,171097,3,,,,,,,,,,
,,,,,,,,,,135483,3,,,,,,,,,,
,,,,,,,,,,126065,3,,,,,,,,,,
,,,,,,,,,,182189,3,,,,,,,,,,
,,,,,,,,,,168374,3,,,,,,,,,,
,,,,,,,,,,108619,3,,,,,,,,,,
,,,,,,,,,,71666,3,,,,,,,,,,
,,,,,,,,,,100603,3,,,,,,,,,,
,,,,,,,,,,91135,3,,,,,,,,,,
,,,,,,,,,,110490,3,,,,,,,,,,
,,,,,,,,,,167979,3,,,,,,,,,,
,,,,,,,,,,109669,3,,,,,,,,,,
,,,,,,,,,,155306,3,,,,,,,,,,
,,,,,,,,,,190636,3,,,,,,,,,,
,,,,,,,,,,170712,3,,,,,,,,,,
,,,,,,,,,,98315,3,,,,,,,,,,
,,,,,,,,,,126473,3,,,,,,,,,,
,,,,,,,,,,186585,3,,,,,,,,,,
,,,,,,,,,,73779,3,,,,,,,,,,
,,,,,,,,,,69060,3,,,,,,,,,,
,,,,,,,,,,90067,3,,,,,,,,,,
,,,,,,,,,,197026,3,,,,,,,,,,
,,,,,,,,,,52152,3,,,,,,,,,,
,,,,,,,,,,31240,3,,,,,,,,,,
,,,,,,,,,,59123,3,,,,,,,,,,
,,,,,,,,,,49157,3,,,,,,,,,,
,,,,,,,,,,184017,3,,,,,,,,,,
,,,,,,,,,,50704,3,,,,,,,,,,
,,,,,,,,,,173684,3,,,,,,,,,,
,,,,,,,,,,141812,3,,,,,,,,,,
,,,,,,,,,,51594,3,,,,,,,,,,
,,,,,,,,,,146391,3,,,,,,,,,,
,,,,,,,,,,145995,3,,,,,,,,,,
,,,,,,,,,,116369,3,,,,,,,,,,
,,,,,,,,,,124487,3,,,,,,,,,,
,,,,,,,,,,143116,3,,,,,,,,,,
,,,,,,,,,,85377,3,,,,,,,,,,
,,,,,,,,,,81606,3,,,,,,,,,,
,,,,,,,,,,114836,3,,,,,,,,,,
,,,,,,,,,,180101,3,,,,,,,,,,
,,,,,,,,,,117312,3,,,,,,,,,,
,,,,,,,,,,82119,3,,,,,,,,,,
,,,,,,,,,,92100,3,,,,,,,,,,
,,,,,,,,,,129613,3,,,,,,,,,,
,,,,,,,,,,194280,3,,,,,,,,,,
,,,,,,,,,,135193,3,,,,,,,,,,
,,,,,,,,,,45283,3,,,,,,,,,,
,,,,,,,,,,143592,3,,,,,,,,,,
,,,,,,,,,,40168,3,,,,,,,,,,
,,,,,,,,,,188614,3,,,,,,,,,,
,,,,,,,,,,46861,3,,,,,,,,,,
,,,,,,,,,,59953,3,,,,,,,,,,
,,,,,,,,,,133449,3,,,,,,,,,,
,,,,,,,,,,75594,3,,,,,,,,,,
,,,,,,,,,,123945,3,,,,,,,,,,
,,,,,,,,,,141365,3,,,,,,,,,,
,,,,,,,,,,161421,3,,,,,,,,,,
,,,,,,,,,,192403,3,,,,,,,,,,
,,,,,,,,,,129042,3,,,,,,,,,,
,,,,,,,,,,56463,3,,,,,,,,,,
,,,,,,,,,,75224,3,,,,,,,,,,
,,,,,,,,,,75055,3,,,,,,,,,,
,,,,,,,,,,140294,3,,,,,,,,,,
,,,,,,,,,,153906,3,,,,,,,,,,
,,,,,,,,,,110106,3,,,,,,,,,,
,,,,,,,,,,95084,3,,,,,,,,,,
,,,,,,,,,,54467,3,,,,,,,,,,
,,,,,,,,,,84367,3,,,,,,,,,,
,,,,,,,,,,40676,3,,,,,,,,,,
,,,,,,,,,,195242,3,,,,,,,,,,
,,,,,,,,,,60860,3,,,,,,,,,,
,,,,,,,,,,83442,3,,,,,,,,,,
,,,,,,,,,,98114,3,,,,,,,,,,
,,,,,,,,,,48186,3,,,,,,,,,,
,,,,,,,,,,108480,3,,,,,,,,,,
,,,,,,,,,,32837,3,,,,,,,,,,
,,,,,,,,,,120825,3,,,,,,,,,,
,,,,,,,,,,124224,3,,,,,,,,,,
,,,,,,,,,,153099,3,,,,,,,,,,
,,,,,,,,,,43111,3,,,,,,,,,,
,,,,,,,,,,30327,3,,,,,,,,,,
,,,,,,,,,,64731,3,,,,,,,,,,
,,,,,,,,,,117333,3,,,,,,,,,,
,,,,,,,,,,61376,3,,,,,,,,,,
,,,,,,,,,,44288,3,,,,,,,,,,
,,,,,,,,,,119042,3,,,,,,,,,,
,,,,,,,,,,50691,3,,,,,,,,,,
,,,,,,,,,,197349,3,,,,,,,,,,
,,,,,,,,,,54985,3,,,,,,,,,,
,,,,,,,,,,128147,3,,,,,,,,,,
,,,,,,,,,,176289,3,,,,,,,,,,
,,,,,,,,,,100288,3,,,,,,,,,,
,,,,,,,,,,185674,3,,,,,,,,,,
,,,,,,,,,,154167,3,,,,,,,,,,
,,,,,,,,,,195287,3,,,,,,,,,,
,,,,,,,,,,156240,3,,,,,,,,,,
,,,,,,,,,,77099,3,,,,,,,,,,
,,,,,,,,,,123880,3,,,,,,,,,,
,,,,,,,,,,164704,3,,,,,,,,,,
,,,,,,,,,,181085,3,,,,,,,,,,
,,,,,,,,,,141322,3,,,,,,,,,,
,,,,,,,,,,134449,3,,,,,,,,,,
,,,,,,,,,,106636,3,,,,,,,,,,
,,,,,,,,,,65827,3,,,,,,,,,,
,,,,,,,,,,64570,3,,,,,,,,,,
,,,,,,,,,,148518,3,,,,,,,,,,
,,,,,,,,,,74356,3,,,,,,,,,,
,,,,,,,,,,181640,3,,,,,,,,,,
,,,,,,,,,,73670,3,,,,,,,,,,
,,,,,,,,,,156046,3,,,,,,,,,,
,,,,,,,,,,84030,3,,,,,,,,,,
,,,,,,,,,,41918,3,,,,,,,,,,
,,,,,,,,,,109704,3,,,,,,,,,,
,,,,,,,,,,99888,3,,,,,,,,,,
,,,,,,,,,,159616,3,,,,,,,,,,
,,,,,,,,,,47218,3,,,,,,,,,,
,,,,,,,,,,33190,3,,,,,,,,,,
,,,,,,,,,,81869,3,,,,,,,,,,
,,,,,,,,,,167147,3,,,,,,,,,,
,,,,,,,,,,39121,3,,,,,,,,,,
,,,,,,,,,,190853,3,,,,,,,,,,
,,,,,,,,,,137906,3,,,,,,,,,,
,,,,,,,,,,44539,3,,,,,,,,,,
,,,,,,,,,,152398,3,,,,,,,,,,
,,,,,,,,,,189315,3,,,,,,,,,,
,,,,,,,,,,145923,3,,,,,,,,,,
,,,,,,,,,,130214,3,,,,,,,,,,
,,,,,,,,,,164846,3,,,,,,,,,,
,,,,,,,,,,130228,3,,,,,,,,,,
,,,,,,,,,,124897,3,,,,,,,,,,
,,,,,,,,,,147836,3,,,,,,,,,,
,,,,,,,,,,79879,3,,,,,,,,,,
,,,,,,,,,,179314,3,,,,,,,,,,
,,,,,,,,,,47310,3,,,,,,,,,,
,,,,,,,,,,100218,3,,,,,,,,,,
,,,,,,,,,,97290,3,,,,,,,,,,
,,,,,,,,,,111731,3,,,,,,,,,,
,,,,,,,,,,97789,3,,,,,,,,,,
,,,,,,,,,,53522,3,,,,,,,,,,
,,,,,,,,,,172637,3,,,,,,,,,,
,,,,,,,,,,44512,3,,,,,,,,,,
,,,,,,,,,,71779,3,,,,,,,,,,
,,,,,,,,,,199422,3,,,,,,,,,,
,,,,,,,,,,131622,3,,,,,,,,,,
,,,,,,,,,,121707,3,,,,,,,,,,
,,,,,,,,,,44939,3,,,,,,,,,,
,,,,,,,,,,73062,3,,,,,,,,,,
,,,,,,,,,,66936,3,,,,,,,,,,
,,,,,,,,,,57590,3,,,,,,,,,,
,,,,,,,,,,46551,3,,,,,,,,,,
,,,,,,,,,,136131,3,,,,,,,,,,
,,,,,,,,,,163666,3,,,,,,,,,,
,,,,,,,,,,196400,3,,,,,,,,,,
,,,,,,,,,,114773,3,,,,,,,,,,
,,,,,,,,,,40929,3,,,,,,,,,,
,,,,,,,,,,139037,3,,,,,,,,,,
,,,,,,,,,,98302,3,,,,,,,,,,
,,,,,,,,,,51682,3,,,,,,,,,,
,,,,,,,,,,113664,3,,,,,,,,,,
,,,,,,,,,,126700,3,,,,,,,,,,
,,,,,,,,,,75641,3,,,,,,,,,,
,,,,,,,,,,195251,3,,,,,,,,,,
,,,,,,,,,,179407,3,,,,,,,,,,
,,,,,,,,,,185931,3,,,,,,,,,,
,,,,,,,,,,93202,3,,,,,,,,,,
,,,,,,,,,,100029,3,,,,,,,,,,
,,,,,,,,,,120110,3,,,,,,,,,,
,,,,,,,,,,50654,3,,,,,,,,,,
,,,,,,,,,,173494,3,,,,,,,,,,
,,,,,,,,,,148454,3,,,,,,,,,,
,,,,,,,,,,174795,3,,,,,,,,,,
,,,,,,,,,,62576,3,,,,,,,,,,
,,,,,,,,,,187801,3,,,,,,,,,,
,,,,,,,,,,129028,3,,,,,,,,,,
,,,,,,,,,,80765,3,,,,,,,,,,
,,,,,,,,,,190164,3,,,,,,,,,,
,,,,,,,,,,97811,3,,,,,,,,,,
,,,,,,,,,,53047,3,,,,,,,,,,
,,,,,,,,,,43030,3,,,,,,,,,,
,,,,,,,,,,86906,3,,,,,,,,,,
,,,,,,,,,,172378,3,,,,,,,,,,
,,,,,,,,,,124926,3,,,,,,,,,,
,,,,,,,,,,65912,3,,,,,,,,,,
,,,,,,,,,,92738,3,,,,,,,,,,
,,,,,,,,,,136115,3,,,,,,,,,,
,,,,,,,,,,148945,3,,,,,,,,,,
,,,,,,,,,,42903,3,,,,,,,,,,
,,,,,,,,,,73798,3,,,,,,,,,,
,,,,,,,,,,53286,3,,,,,,,,,,
,,,,,,,,,,179562,3,,,,,,,,,,
,,,,,,,,,,55431,3,,,,,,,,,,
,,,,,,,,,,96487,3,,,,,,,,,,
,,,,,,,,,,64333,3,,,,,,,,,,
,,,,,,,,,,157987,3,,,,,,,,,,
,,,,,,,,,,129451,3,,,,,,,,,,
,,,,,,,,,,44714,3,,,,,,,,,,
,,,,,,,,,,105498,3,,,,,,,,,,
,,,,,,,,,,199304,3,,,,,,,,,,
,,,,,,,,,,98279,3,,,,,,,,,,
,,,,,,,,,,103103,3,,,,,,,,,,
,,,,,,,,,,152551,3,,,,,,,,,,
,,,,,,,,,,177728,3,,,,,,,,,,
,,,,,,,,,,73006,3,,,,,,,,,,
,,,,,,,,,,148345,3,,,,,,,,,,
,,,,,,,,,,62823,3,,,,,,,,,,
,,,,,,,,,,153955,3,,,,,,,,,,
,,,,,,,,,,151421,3,,,,,,,,,,
,,,,,,,,,,44861,3,,,,,,,,,,
,,,,,,,,,,160223,3,,,,,,,,,,
,,,,,,,,,,123047,3,,,,,,,,,,
,,,,,,,,,,194601,3,,,,,,,,,,
,,,,,,,,,,191752,3,,,,,,,,,,
,,,,,,,,,,91442,3,,,,,,,,,,
,,,,,,,,,,38382,3,,,,,,,,,,
,,,,,,,,,,141210,3,,,,,,,,,,
,,,,,,,,,,173122,3,,,,,,,,,,
,,,,,,,,,,170905,3,,,,,,,,,,
,,,,,,,,,,181595,3,,,,,,,,,,
,,,,,,,,,,198363,3,,,,,,,,,,
,,,,,,,,,,42973,3,,,,,,,,,,
,,,,,,,,,,157713,3,,,,,,,,,,
,,,,,,,,,,181709,3,,,,,,,,,,
,,,,,,,,,,154689,3,,,,,,,,,,
,,,,,,,,,,158584,3,,,,,,,,,,
,,,,,,,,,,58952,3,,,,,,,,,,
,,,,,,,,,,72198,3,,,,,,,,,,
,,,,,,,,,,42740,3,,,,,,,,,,
,,,,,,,,,,61332,3,,,,,,,,,,
,,,,,,,,,,179902,3,,,,,,,,,,
,,,,,,,,,,42452,3,,,,,,,,,,
,,,,,,,,,,55279,3,,,,,,,,,,
,,,,,,,,,,181897,3,,,,,,,,,,
,,,,,,,,,,186946,3,,,,,,,,,,
,,,,,,,,,,72246,3,,,,,,,,,,
,,,,,,,,,,70310,3,,,,,,,,,,
,,,,,,,,,,84170,3,,,,,,,,,,
,,,,,,,,,,128079,3,,,,,,,,,,
,,,,,,,,,,181832,3,,,,,,,,,,
,,,,,,,,,,146263,3,,,,,,,,,,
,,,,,,,,,,199150,3,,,,,,,,,,
,,,,,,,,,,146853,3,,,,,,,,,,
,,,,,,,,,,111556,3,,,,,,,,,,
,,,,,,,,,,62596,3,,,,,,,,,,
,,,,,,,,,,59121,3,,,,,,,,,,
,,,,,,,,,,153832,3,,,,,,,,,,
,,,,,,,,,,143626,3,,,,,,,,,,
,,,,,,,,,,62338,3,,,,,,,,,,
,,,,,,,,,,150789,3,,,,,,,,,,
,,,,,,,,,,192058,3,,,,,,,,,,
,,,,,,,,,,123960,3,,,,,,,,,,
,,,,,,,,,,87292,3,,,,,,,,,,
,,,,,,,,,,199381,3,,,,,,,,,,
,,,,,,,,,,184294,3,,,,,,,,,,
,,,,,,,,,,86904,3,,,,,,,,,,
,,,,,,,,,,69274,3,,,,,,,,,,
,,,,,,,,,,127749,3,,,,,,,,,,
,,,,,,,,,,70446,3,,,,,,,,,,
,,,,,,,,,,194998,3,,,,,,,,,,
,,,,,,,,,,164998,3,,,,,,,,,,
,,,,,,,,,,56359,3,,,,,,,,,,
,,,,,,,,,,178806,3,,,,,,,,,,
,,,,,,,,,,90279,3,,,,,,,,,,
,,,,,,,,,,120219,3,,,,,,,,,,
,,,,,,,,,,160056,3,,,,,,,,,,
,,,,,,,,,,97184,3,,,,,,,,,,
,,,,,,,,,,146532,3,,,,,,,,,,
,,,,,,,,,,158939,3,,,,,,,,,,
,,,,,,,,,,89696,3,,,,,,,,,,
,,,,,,,,,,32624,3,,,,,,,,,,
,,,,,,,,,,62487,3,,,,,,,,,,
,,,,,,,,,,137512,3,,,,,,,,,,
,,,,,,,,,,94856,3,,,,,,,,,,
,,,,,,,,,,145742,3,,,,,,,,,,
,,,,,,,,,,165810,3,,,,,,,,,,
,,,,,,,,,,117839,3,,,,,,,,,,
,,,,,,,,,,83152,3,,,,,,,,,,
,,,,,,,,,,109089,3,,,,,,,,,,
,,,,,,,,,,104781,3,,,,,,,,,,
,,,,,,,,,,61818,3,,,,,,,,,,
,,,,,,,,,,60868,3,,,,,,,,,,
,,,,,,,,,,108960,3,,,,,,,,,,
,,,,,,,,,,67732,3,,,,,,,,,,
,,,,,,,,,,131539,3,,,,,,,,,,
,,,,,,,,,,109649,3,,,,,,,,,,
,,,,,,,,,,37656,3,,,,,,,,,,
,,,,,,,,,,116062,3,,,,,,,,,,
,,,,,,,,,,34014,3,,,,,,,,,,
,,,,,,,,,,71218,3,,,,,,,,,,
,,,,,,,,,,182681,3,,,,,,,,,,
,,,,,,,,,,94637,3,,,,,,,,,,
,,,,,,,,,,82568,3,,,,,,,,,,
,,,,,,,,,,196487,3,,,,,,,,,,
,,,,,,,,,,192214,3,,,,,,,,,,
,,,,,,,,,,51045,3,,,,,,,,,,
,,,,,,,,,,122380,3,,,,,,,,,,
,,,,,,,,,,66845,3,,,,,,,,,,
,,,,,,,,,,42531,3,,,,,,,,,,
,,,,,,,,,,197373,3,,,,,,,,,,
,,,,,,,,,,68881,3,,,,,,,,,,
,,,,,,,,,,71427,3,,,,,,,,,,
,,,,,,,,,,112852,3,,,,,,,,,,
,,,,,,,,,,89639,3,,,,,,,,,,
,,,,,,,,,,184251,3,,,,,,,,,,
,,,,,,,,,,75478,3,,,,,,,,,,
,,,,,,,,,,152127,3,,,,,,,,,,
,,,,,,,,,,177806,3,,,,,,,,,,
,,,,,,,,,,133194,3,,,,,,,,,,
,,,,,,,,,,97688,3,,,,,,,,,,
,,,,,,,,,,93493,3,,,,,,,,,,
,,,,,,,,,,171490,3,,,,,,,,,,
